step,AAPL,MSFT,JPM,GS,BA,CAT,MMM,HON,IBM,NVDA,KO,MCD,MRK,MS,NKE,PG,TRV,UNH,V,VZ,WMT,CVX,XOM,AMGN,AXP,CRM,CSCO,DIS,HD,JNJ,CASH
20,0.03460192975122351,0.013293862304503577,0.051195212788071015,0.05785061239345455,0.028277111429346247,0.03526916850577579,0.02245761630186965,0.022551424914561538,0.03452034993768959,0.0232497222709344,0.021758316488353982,0.03570497628846915,0.04113889013908579,0.01739501872008333,0.04892642341535526,0.01794899923245736,0.0663427395017288,0.021438045019696185,0.06432405078771271,0.02169342578803,0.024918705631299408,0.023311054287823634,0.05306528266750415,0.05483297373550693,0.0218945177804247,0.02790481694124097,0.03879563305373906,0.020028147039151,0.035295784742117045,0.02001495025866474,2.3788412598706657e-07
21,0.035393578637038736,0.013334629077036982,0.0526708150210171,0.05634138383314602,0.02816541687894216,0.03526711281396727,0.02297482966638807,0.021829603894121353,0.03496978746584862,0.023264142434101864,0.021704430332348385,0.03579024306010287,0.041507537960405655,0.017433146617094462,0.048983111427230164,0.01789758950008738,0.06674469662031055,0.021338165541144163,0.06298183657908853,0.022062164436379393,0.024189268028623024,0.023545101365276898,0.05317118688300985,0.05424769669181768,0.022680846003153877,0.026967513826930828,0.04016154064773899,0.019818036939412732,0.03514429670964524,0.01942029074405788,3.6453328638719836e-10
22,0.03468912001061246,0.01342052693371769,0.0517322438957574,0.05519647653895997,0.02856562926467131,0.03523901309309004,0.02282621257008836,0.022103162453646016,0.03475314724150689,0.023078506616560017,0.02158344726389499,0.036187370111120463,0.04137801136765164,0.017722418880219068,0.048152452765286104,0.01823363122030444,0.06697971266930253,0.02157863493851396,0.06432564644031215,0.022058220597428242,0.02453967939799506,0.024182319011921798,0.05272271259215361,0.05484559683297804,0.022165739524368594,0.027512987052405395,0.03883833453483004,0.019963430958542333,0.03556249339028004,0.019863121702775537,1.2910573926239705e-10
23,0.03461447845212928,0.013516297902605882,0.051432713084625076,0.056587776008482284,0.028820234082762058,0.0349090973832787,0.022667510656816364,0.022508301316352158,0.03613329212439061,0.02357044989432641,0.021639395606363607,0.03559877151755171,0.041308074689648894,0.01746684691336058,0.048617296976352635,0.01805172006752478,0.065616441231468,0.021469458297637585,0.06333914213391321,0.022030262073178854,0.024441210330716234,0.02306722871080287,0.05578234152630267,0.054001418768559906,0.022075989577661943,0.027761226809095183,0.03824779707639492,0.019748395442777723,0.035052113279145855,0.01992471793827106,1.2750307113396122e-10
24,0.034747857163744886,0.013595163164618937,0.05073282011012661,0.05696055455469622,0.02846075631904528,0.03499497535552469,0.022308482031367326,0.022140151512206347,0.034599135263015356,0.023416407473533813,0.021627934651525862,0.035435777652938184,0.04108944111171763,0.017819616005949678,0.048172329420474634,0.01813720065617345,0.06796261105673919,0.021568117646051023,0.06461911442216167,0.022057450645047137,0.024868529517849153,0.02338657260118057,0.052342998213615245,0.054504364014044356,0.022256655734182517,0.028581740445019443,0.03890572385689218,0.020114958984650263,0.035490395904597835,0.019102045209677072,1.193016333419932e-07
25,0.03474510350293798,0.013734235244661401,0.051757660962781,0.055161596917067894,0.02848592763550335,0.03525705053181147,0.021876250026716396,0.02261256486144591,0.03513528433714449,0.023657484056269936,0.0220074442142094,0.035688072408930724,0.0409815981559017,0.01770786537339439,0.04827833932453526,0.018155203181368415,0.06592632469593043,0.021526794303970778,0.06433057400848333,0.022051333932667564,0.0245965527828522,0.023725273498138966,0.05470232948025187,0.05439174002070389,0.02187762691207795,0.028390721643022233,0.03886294944097512,0.020089432431960305,0.03481098811926099,0.019475439909437432,2.3808558719484986e-07
26,0.03482844571766847,0.013523709959233203,0.05116304982945075,0.05565341174485793,0.028507914845803145,0.03591556233687325,0.022618364526191936,0.02209793350220619,0.035086804814040584,0.023192325089300164,0.021709566416530074,0.035671489738855644,0.040498075823170145,0.017558030251024707,0.048112871202258066,0.018435148840703644,0.06637281625596647,0.02121271773844676,0.0643302955487937,0.021827219699589038,0.024850233378356807,0.023780095351663273,0.054594465702566326,0.05462838696812119,0.022120491434649864,0.028030901886529985,0.03973502484295046,0.019958468360071036,0.03518575060342006,0.01880042722774753,3.629595883426501e-10
27,0.035008146725082616,0.013751415136091866,0.05175025434937957,0.05616341345374869,0.0284104107886958,0.03516185044900428,0.02235693061238333,0.022363956897349428,0.03428834819589692,0.02366374086662415,0.021880548634532846,0.03599038330596884,0.041000698507625666,0.01770227537531111,0.04902128594920415,0.01833025277626342,0.06642688364112852,0.02169999903285027,0.06480728272962732,0.02228503170403581,0.02475581443394064,0.02338956568596155,0.051961033762602776,0.05438126831639385,0.02203677685417936,0.027684851517162334,0.03882502914609984,0.019955444363976168,0.03537368181813038,0.01957342484627207,1.244765528353984e-10
28,0.03420847173987598,0.01331022758071704,0.05137750218503856,0.05742953877146205,0.028944207702335804,0.036311662449628114,0.022009289843355664,0.022580151329982926,0.034464823166293436,0.023669977011278803,0.02157443907872847,0.035533310525308434,0.040572916493736594,0.01740244564982267,0.04924120058339362,0.01795109833675374,0.06654418564426004,0.021164615777326375,0.06360358088007759,0.02233587783668541,0.024453299873145398,0.023438667260324487,0.05398642188210602,0.05452730254333789,0.022200658857804884,0.02764308621993678,0.03837080755205344,0.01998660146623274,0.03537326668021639,0.01979012802454628,2.3705423435768444e-07
29,0.03430879012166119,0.01378536957424624,0.050356481376599996,0.05561149756569766,0.02843212955727841,0.0351380275997097,0.022352805483029408,0.022894734693457954,0.0348857506679925,0.023408660968519134,0.022280990639558622,0.03544192746168141,0.04096382772858293,0.017706448286067232,0.04844806083594189,0.018134603118535507,0.06599903391825467,0.02151330752835046,0.06565187897852201,0.021841295962881094,0.024802896109045888,0.023994301342244857,0.05145402084557839,0.05487145938891142,0.022233568047885476,0.02827226941519463,0.03884956861800365,0.0211518600953131,0.035615058012530516,0.019599256699213648,1.1935951041394582e-07
30,0.03478701003148896,0.013510196045447606,0.05139827298612841,0.054464160970638456,0.028241157011124098,0.03534412162313176,0.022628018877309575,0.022121255405939632,0.03438962877794593,0.023250035961187715,0.022114739547843744,0.036166031167586044,0.04144850996900109,0.017737117548744238,0.048687908649302225,0.018506263373372068,0.06741775532136439,0.021946629305031606,0.06472067708956963,0.021939595773523803,0.024771549406716532,0.023908622267363434,0.05288963248656201,0.05535362556592118,0.022069690667324303,0.02834575800448411,0.03945095964757417,0.020191126037432446,0.03311404809047798,0.01908578258655436,1.1980390846765564e-07
31,0.03498825000195972,0.013579867015467333,0.0525031599248442,0.058491680073241736,0.02988247286550102,0.03522529680756265,0.022171704212450252,0.02242677750442404,0.035009579017166725,0.023791624058283757,0.021588179904976038,0.03574354475912968,0.0404354557909205,0.01735723798722473,0.04913464079090331,0.017956845454510106,0.06554559098630187,0.021182080911020112,0.06363048801742853,0.022368967295565555,0.024422042581010887,0.02312631900887834,0.053302616908600005,0.053658462808093194,0.021826274764002455,0.027765946623986473,0.038088387588795174,0.019919865202361636,0.035436833622350526,0.019439807268974405,2.440650488317746e-10
